ID,Date,Trader,Recipient,Item,Item ID,HC Value
1,19-07-2024 16:48:01,madlad,Delboy,Snuggle up on a Funky bear rug...,-615811,0.00
1,19-07-2024 16:48:01,madlad,Delboy,HC chair,-323000,0.00
1,19-07-2024 16:48:01,madlad,Delboy,Bars,92629,0.00
1,19-07-2024 16:48:01,madlad,Delboy,poster_5000,106838,0.00
1,19-07-2024 16:48:01,madlad,Delboy,Dragon Egg,-894774,0.85
1,19-07-2024 16:48:01,madlad,Delboy,Dragon Egg,-895012,0.85
1,19-07-2024 16:48:01,madlad,Delboy,Dragon Egg,-894960,0.85
1,19-07-2024 16:48:01,madlad,Delboy,Dragon Egg,-894905,0.85
1,19-07-2024 16:48:01,madlad,Delboy,Petal Patch,-665279,0.50
2,19-07-2024 16:49:01,madlad,Delboy,poster_5000,106676,0.00
2,19-07-2024 16:49:01,madlad,Delboy,HC chair,-329116,0.00
2,19-07-2024 16:49:01,madlad,Delboy,bed_budget_one,-692392,0.00
2,19-07-2024 16:49:01,Delboy,madlad,Dragon Egg,-894960,0.85
2,19-07-2024 16:49:01,Delboy,madlad,HC chair,-323000,0.00
2,19-07-2024 16:49:01,Delboy,madlad,Petal Patch,-665279,0.50
2,19-07-2024 16:49:01,Delboy,madlad,Dragon Egg,-895012,0.85
2,19-07-2024 16:49:01,Delboy,madlad,Fox Poster,92638,0.00
